Owner,Schedule,Location,Day of Week,Start,End,Hours,Requests,Requesters
ajl271,BUS-BEST-Cons,Busch Campus,Monday,9:45PM,2:00AM,4.25,6,"ajl271 (3), rp928 (2), sr1193 (4), ca571 (1), dpc121 (5), gak87 (1)"
ajl271,BUS-LSM-Cons,Busch Campus,Tuesday,9:45PM,1:30AM,3.75,4,"ajl271 (1), rp928 (2), ca571 (2), dpc121 (4)"
ajl271,BUS-BEST-Cons,Busch Campus,Thursday,10:15PM,2:00AM,3.75,5,"ajl271 (2), rp928 (2), ejc190 (2), dpc121 (4), bjg144 (5)"
an588,BUS-LSM-Cons,Busch Campus,Tuesday,10:00AM,2:00PM,4,5,"yl843 (2), ejc185 (5), an588 (3), brl51 (4), jbm200 (5)"
an588,BUS-BEST-Cons,Busch Campus,Friday,3:00PM,6:15PM,3.25,23,"cjk171 (1), yf184 (5), ttl39 (1), lo153 (5), aak219 (2), kt427 (1), rgd51 (1), vsl22 (1), ktm96 (3), jrb340 (4), an588 (2), ajb384 (4), tjb234 (2), ap1614 (3), jbm200 (5), bar151 (1), jwn32 (1), jp1682 (2), bwr29 (4), dpc121 (1), ms2651 (3), spp131 (4), uls2 (2)"
an646,BUS-ARC-Cons,Busch Campus,Wednesday,10:00AM,12:30PM,2.5,6,"yf184 (3), ajf224 (3), srp221 (1), ktm96 (2), aar195 (2), an646 (1)"
an646,BUS-BEST-Cons,Busch Campus,Thursday,6:30PM,10:15PM,3.75,10,"sr1193 (1), ap1614 (1), jfm203 (2), jbm200 (5), vs543 (2), dpc121 (3), aab283 (1), an646 (4), hp408 (1), uls2 (4)"
an646,BUS-ARC-Disp,Busch Campus,Friday,10:00AM,1:30PM,3.5,3,"aar195 (2), dpc121 (2), an646 (3)"
an646,BUS-ARC-Disp,Busch Campus,Wednesday,10:00AM,1:30PM,3.5,0,
ap1614,BUS-LSM-Cons,Busch Campus,Saturday,10:00AM,1:30PM,3.5,10,"kt427 (1), rgd51 (2), sr1193 (3), ap1614 (1), msm322 (1), yq65 (1), jbm200 (4), aab283 (1), ms2651 (1), uls2 (4)"
ap1614,BUS-LSM-Cons,Busch Campus,Saturday,1:30PM,5:00PM,3.5,13,"kt427 (5), rgd51 (2), sr1193 (1), srg154 (5), ap1614 (1), njh45 (3), msm322 (1), yq65 (2), jbm200 (4), jsq8 (1), aab283 (1), an646 (4), uls2 (4)"
ap1614,BUS-BEST-Cons,Busch Campus,Sunday,5:30PM,9:30PM,4,8,"cjk171 (3), ttl39 (2), sr1193 (1), ap1614 (1), jbm200 (3), jc2427 (4), jsq8 (3), jp1682 (4)"
ap1614,BUS-LSM-Cons,Busch Campus,Monday,6:00PM,9:00PM,3,15,"cjk171 (2), yf184 (1), bk396 (2), ac1109 (1), ajl271 (4), rgd51 (1), ajb384 (5), ap1614 (1), njh45 (2), jbm200 (5), ajc423 (5), jsq8 (2), bar151 (5), jje77 (3), smt196 (2)"
ap1614,BUS-ARC-Cons,Busch Campus,Tuesday,9:45PM,2:00AM,4.25,8,"ed422 (1), rp928 (2), ap1614 (1), ca571 (3), jwn32 (1), ejc190 (1), dpc121 (4), gak87 (1)"
ap1614,BUS-LSM-Cons,Busch Campus,Thursday,9:00PM,12:00AM,3,6,"ajl271 (1), bmw110 (5), rp928 (2), ap1614 (1), jbm200 (5), dpc121 (3)"
ap1614,BUS-LSM-Cons,Busch Campus,Tuesday,9:00PM,12:00AM,3,0,
arg213,BUS-ARC-Cons,Busch Campus,Saturday,6:00PM,10:00PM,4,0,
arg213,BUS-ARC-Cons,Busch Campus,Sunday,10:45PM,2:00AM,3.25,1,smk333 (5)
atw73,BUS-ARC-Cons,Busch Campus,Tuesday,6:15PM,9:45PM,3.5,17,"wsc31 (5), bmw110 (5), vsl22 (1), ajb384 (3), ap1614 (1), njh45 (1), atw73 (1), jbm200 (5), jwn32 (3), ma1595 (5), js2585 (3), jp1682 (5), vs543 (1), dpc121 (5), aab283 (2), bhp38 (1), hp408 (1)"
atw73,BUS-ARC-Cons,Busch Campus,Wednesday,8:00AM,11:45AM,3.75,13,"ejc185 (5), rp928 (2), vsl22 (1), brl51 (1), atw73 (2), ca571 (5), jbm200 (4), kwl47 (1), aab283 (1), ava45 (1), ms2651 (2), bjr117 (2), spp131 (1)"
atw73,BUS-ARC-Cons,Busch Campus,Thursday,3:15PM,6:30PM,3.25,12,"ajb384 (2), ztm8 (2), srg154 (2), ap1614 (1), atw73 (1), ros27 (1), jbm200 (5), ma1595 (5), jje77 (2), ava45 (1), hp408 (2), bjg144 (5)"
atw73,BUS-ARC-Cons,Busch Campus,Tuesday,3:15PM,6:30PM,3.25,0,
ava45,BUS-ARC-Cons,Busch Campus,Monday,3:15PM,6:30PM,3.25,15,"cjk171 (1), rp928 (2), yw559 (1), zmk15 (1), ktm96 (3), jrb340 (2), jbm200 (5), bar151 (3), jwn32 (1), js2585 (1), ava45 (1), smt196 (1), ejc192 (1), bjs300 (2), spp131 (1)"
ava45,BUS-ARC-Cons,Busch Campus,Tuesday,8:00AM,11:45AM,3.75,12,"ejc185 (4), vsl22 (1), jrb340 (3), brl51 (1), ap1614 (5), jfm203 (1), msm322 (1), jbm200 (4), jp1682 (4), ava45 (1), an646 (5), hp408 (4)"
ava45,BUS-ARC-Cons,Busch Campus,Friday,8:00AM,11:45AM,3.75,11,"rp928 (1), yw559 (5), brl51 (1), jfm203 (2), msm322 (1), jbm200 (4), kwl47 (5), jp1682 (4), vs543 (2), ava45 (1), eg560 (3)"
ava45,BUS-ARC-Cons,Busch Campus,Wednesday,8:00AM,11:45AM,3.75,0,
axt3,BUS-BEST-Cons,Busch Campus,Monday,8:00AM,11:30AM,3.5,13,"ttl39 (1), axt3 (2), jej99 (1), rp928 (1), vsl22 (1), nad129 (5), bkw27 (2), aar195 (3), ap1614 (1), jbm200 (4), jwn32 (3), jje77 (2), spp131 (4)"
axt3,BUS-BEST-Cons,Busch Campus,Wednesday,6:15PM,9:45PM,3.5,11,"axt3 (2), ajl271 (3), rgd51 (1), cli14 (4), sy519 (4), msm322 (1), jbm200 (2), ajc423 (1), jwn32 (1), smt196 (3), bjs300 (2)"
bar151,BUS-LSM-Cons,Busch Campus,Monday,3:00PM,6:15PM,3.25,9,"cjk171 (2), ac1109 (3), rp928 (1), ktm96 (1), jbm200 (5), bar151 (1), smt196 (1), bjs300 (4), spp131 (2)"
bar151,BUS-BEST-Cons,Busch Campus,Wednesday,11:30AM,3:00PM,3.5,17,"yf184 (4), lo153 (5), rp928 (1), sah285 (1), sr1193 (1), ktm96 (4), nad129 (3), aar195 (1), brl51 (3), tjb234 (1), jbm200 (5), bar151 (1), ejc190 (1), jp1682 (1), pkc42 (1), ms2651 (2), spp131 (1)"
bar151,BUS-ARC-Cons,Busch Campus,Friday,3:00PM,6:15PM,3.25,26,"cjk171 (1), yf184 (3), lo153 (5), srp221 (1), kt427 (1), rgd51 (1), vsl22 (1), ktm96 (3), jrb340 (3), ajb384 (5), tjb234 (2), njh45 (1), jbm200 (5), bar151 (3), jwn32 (3), js2585 (2), jp1682 (1), bwr29 (2), dpc121 (2), jl2169 (2), ava45 (1), gak87 (2), ejc192 (1), bhp38 (1), bjr117 (1), spp131 (5)"
bar151,BUS-ARC-Cons,Busch Campus,Wednesday,3:00PM,6:15PM,3.25,0,
bhp38,BUS-ARC-Cons,Busch Campus,Saturday,6:30PM,10:00PM,3.5,7,"sa1110 (4), rgd51 (1), ap1614 (3), jbm200 (2), jsq8 (3), aab283 (5), bhp38 (2)"
bhp38,BUS-ARC-Cons,Busch Campus,Sunday,6:00PM,10:00PM,4,8,"cjk171 (1), sr1193 (1), jbm200 (3), jsq8 (3), jp1682 (4), dpc121 (1), aab283 (3), bhp38 (1)"
bhp38,BUS-ARC-Cons,Busch Campus,Thursday,6:15PM,9:45PM,3.5,11,"bmw110 (4), ap1614 (1), jfm203 (1), jbm200 (5), js2585 (3), jp1682 (5), vs543 (1), dpc121 (4), aab283 (2), bhp38 (1), hp408 (1)"
bhp38,BUS-ARC-Cons,Busch Campus,Tuesday,6:15PM,9:45PM,3.5,0,
bjg144,BUS-LSM-Cons,Busch Campus,Monday,9:00PM,12:00AM,3,12,"ac1109 (1), ajl271 (4), sr1193 (1), ap1614 (1), jfm203 (1), njh45 (3), msm322 (1), ca571 (2), jbm200 (5), dpc121 (4), smt196 (3), bjg144 (1)"
bjg144,BUS-ARC-Cons,Busch Campus,Tuesday,3:00PM,5:30PM,2.5,2,"aab283 (1), bjg144 (4)"
bjg144,BUS-ARC-Disp,Busch Campus,Thursday,4:45PM,7:45PM,3,4,"kt427 (4), dpc121 (5), aab283 (1), bjg144 (5)"
bjg144,BUS-ARC-Disp,Busch Campus,Tuesday,4:45PM,7:45PM,3,0,
bjr117,BUS-ARC-Cons,Busch Campus,Tuesday,3:00PM,6:15PM,3.25,17,"esr59 (2), wsc31 (4), rgd51 (1), ajb384 (3), srg154 (1), ap1614 (1), njh45 (2), jbm200 (5), ejc190 (4), ma1595 (1), bwr29 (2), jl2169 (5), aab283 (1), bjr117 (1), hp408 (2), eg560 (1), bjg144 (4)"
bjr117,BUS-ARC-Cons,Busch Campus,Wednesday,8:00AM,11:30AM,3.5,13,"ejc185 (5), rp928 (1), vsl22 (1), brl51 (1), atw73 (1), ca571 (5), jbm200 (4), kwl47 (1), aab283 (1), ava45 (2), ms2651 (2), bjr117 (1), spp131 (1)"
bjr117,BUS-ARC-Cons,Busch Campus,Thursday,11:30AM,3:00PM,3.5,9,"esr59 (1), smk333 (2), kt427 (1), ca571 (5), jbm200 (5), jje77 (1), bjr117 (2), eg560 (1), bjg144 (4)"
bjr117,BUS-ARC-Cons,Busch Campus,Tuesday,11:30AM,3:00PM,3.5,0,
bjs300,BUS-BEST-Cons,Busch Campus,Sunday,6:00PM,10:00PM,4,9,"cjk171 (3), ttl39 (2), sr1193 (1), ap1614 (1), jbm200 (3), jc2427 (4), jsq8 (3), jp1682 (5), dpc121 (1)"
bjs300,BUS-ARC-Cons,Busch Campus,Monday,3:00PM,6:15PM,3.25,17,"cjk171 (1), ejc185 (5), rp928 (1), yw559 (1), zmk15 (2), ktm96 (3), jrb340 (2), msm322 (1), jbm200 (5), bar151 (1), bpl52 (1), ma1595 (1), ava45 (2), smt196 (1), ejc192 (1), bjs300 (1), spp131 (1)"
bjs300,BUS-RBHS-Cons,Busch Campus,Wednesday,1:15PM,4:30PM,3.25,3,"lo153 (5), jbm200 (5), bjs300 (3)"
bk396,BUS-RBHS-Cons,Busch Campus,Monday,4:30PM,8:00PM,3.5,6,"yl843 (3), bk396 (1), ttl39 (3), kt427 (1), msm322 (3), jbm200 (5)"
bk396,BUS-BEST-Cons,Busch Campus,Thursday,11:30AM,3:00PM,3.5,9,"bk396 (2), esr59 (2), ac1109 (1), kt427 (1), ca571 (1), jbm200 (5), jje77 (1), eg560 (1), bjg144 (1)"
bmw110,BUS-LSM-Cons,Busch Campus,Tuesday,6:15PM,9:45PM,3.5,10,"ajf224 (3), bk396 (2), bmw110 (2), ap1614 (1), njh45 (4), jbm200 (5), vs543 (1), aab283 (2), hp408 (3), uls2 (3)"
bpl52,BUS-ARC-Cons,Busch Campus,Saturday,10:45AM,2:45PM,4,15,"sa1110 (4), kt427 (1), rgd51 (1), jrb340 (3), ap1614 (3), msm322 (1), jbm200 (2), jsq8 (5), smk339 (1), bpl52 (3), jje77 (5), jl2169 (2), aab283 (1), ms2651 (1), bhp38 (2)"
bpl52,BUS-BEST-Cons,Busch Campus,Monday,3:00PM,6:15PM,3.25,16,"cjk171 (2), ttl39 (1), ac1109 (1), axt3 (1), rp928 (1), ktm96 (4), jrb340 (4), ap1614 (1), msm322 (1), jbm200 (5), bar151 (1), bpl52 (1), ma1595 (1), smt196 (3), bjs300 (1), spp131 (1)"
bpl52,BUS-BEST-Cons,Busch Campus,Monday,6:15PM,9:45PM,3.5,16,"cjk171 (3), ajl271 (1), rgd51 (1), sr1193 (1), ajb384 (1), ap1614 (1), njh45 (3), jbm200 (2), ajc423 (1), jsq8 (1), bar151 (1), jwn32 (1), bpl52 (3), ma1595 (2), jje77 (2), smt196 (3)"
bpl52,BUS-ARC-Cons,Busch Campus,Wednesday,6:15PM,10:00PM,3.75,0,
brl51,BUS-LSM-Cons,Busch Campus,Tuesday,8:00AM,11:30AM,3.5,5,"ejc185 (5), brl51 (1), ap1614 (1), jfm203 (1), jbm200 (5)"
brl51,BUS-BEST-Cons,Busch Campus,Wednesday,8:00AM,11:30AM,3.5,11,"rp928 (1), vsl22 (1), bkw27 (2), aar195 (1), brl51 (1), atw73 (4), ca571 (1), jbm200 (4), aab283 (1), ms2651 (3), spp131 (1)"
